Intel Xeon E5-2686 v4, NVIDIA Tesla V100 GPU, 61
Intel(R) Xeon(R) Platinum 8468, RTX A6000, 256
Intel Xeon E5-2686 v4, NVIDIA Tesla V100 GPU, 61
